site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-11582,11582,67 180 0049,1582 / 67 180 0049 / HAGUENAU / MAEGSTUB D /  / tumulus / Age du bronze - Age du fer,Haguenau,MAEGSTUB D,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-112234,112234,67 181 0003,12234 / 67 181 0003 / HANDSCHUHEIM / TSPO /  / tumulus / Age du bronze - Age du fer,HANDSCHUHEIM,TSPO,FR,7.571625,48.602396,1036885.2819075165,6843332.120168242,indéterminé,indéterminé,tumulus,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=ban_municipality;precision=centroïde
PATRIARCHE-112925,112925,67 181 0015,12925 / 67 181 0015 / HANDSCHUHEIM /  / Gegen die Klamm / occupation / Age du fer,HANDSCHUHEIM,,FR,7.571625,48.602396,1036885.2819075165,6843332.120168242,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Gegen die Klamm; chrono_brut=Age du fer; type_brut=occupation; georef=ban_municipality;precision=centroïde
PATRIARCHE-112926,112926,67 181 0016,12926 / 67 181 0016 / HANDSCHUHEIM /  / Bei der Langen Streng / habitat / Age du fer,HANDSCHUHEIM,,FR,7.571625,48.602396,1036885.2819075165,6843332.120168242,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,lieu_dit=Bei der Langen Streng; chrono_brut=Age du fer; type_brut=habitat; georef=ban_municipality;precision=centroïde
PATRIARCHE-110261,110261,67 182 0008,10261 / 67 182 0008 / HANGENBIETEN /  /  / Age du fer / bâtiment,HANGENBIETEN,,FR,7.607674099773484,48.563951815477495,1039788.0,6839220.0,indéterminé,indéterminé,indéterminé,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du fer; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-11409,11409,67 184 0001,1409 / 67 184 0001 / HATTEN /  / GROSSERALTHOF / tumulus / Age du bronze - Age du fer,HATTEN,,FR,8.000836,48.89608400000001,1066406.9423486802,6877837.278141317,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=GROSSERALTHOF; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-16071,16071,67 184 0005,6071 / 67 184 0005 / HATTEN /  / ESCHENBUSCH (IGN) / tumulus / Age du bronze - Age du fer,HATTEN,,FR,8.000836,48.89608400000001,1066406.9423486802,6877837.278141317,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=ESCHENBUSCH (IGN); chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-111867,111867,67 185 0008,11867 / 67 185 0008 / HATTMATT / LGV /  / Age du bronze - Age du fer / fosse,HATTMATT,LGV,FR,7.42421,48.791272,1024857.8066809305,6863679.508555238,indéterminé,indéterminé,habitat,moyen,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=fosse; georef=ban_municipality;precision=centroïde
PATRIARCHE-15669,15669,67 187 0006,5669 / 67 187 0006 / HEIDOLSHEIM /  / BITTLICH / tumulus / Age du fer,HEIDOLSHEIM,,FR,7.517380611311041,48.20122938660949,1035442.0,6798584.0,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=BITTLICH; chrono_brut=Age du fer; type_brut=tumulus; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-15665,15665,67 187 0011,5665 / 67 187 0011 / HEIDOLSHEIM / 400M AU SUD-OUEST D'E. /  / sépulture / Age du bronze - Age du fer,HEIDOLSHEIM,400M AU SUD-OUEST D'E.,FR,7.517380611311041,48.20122938660949,1035442.0,6798584.0,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=sépulture; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18146,18146,67 187 0013,8146 / 67 187 0013 / HEIDOLSHEIM /  / GROSSES RIED / nécropole / Age du bronze - Age du fer,HEIDOLSHEIM,,FR,7.517380611311041,48.20122938660949,1035442.0,6798584.0,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,lieu_dit=GROSSES RIED; chrono_brut=Age du bronze - Age du fer; type_brut=nécropole; georef=sites_csv_commune_mean;precision=commune
PATRIARCHE-18147,18147,67 187 0014,8147 / 67 187 0014 / HEIDOLSHEIM /  / OBERMATTEN (IGN) / nécropole / Age du bronze - Age du fer,HEIDOLSHEIM,,FR,7.517380611311041,48.20122938660949,1035442.0,6798584.0,indéterminé,indéterminé,nécropole,faible,Patriarche_EA_ageFer_20250806,lieu_dit=OBERMATTEN (IGN); chrono_brut=Age du bronze - Age du fer; type_brut=nécropole; georef=sites_csv_commune_mean;precision=commune
