site_id,nom_site,commune,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,bibliographie
AKG-25862,Ipf,Bopfingen,DE,OPPIDUM,10.333333,48.883335,1237025.242193449,6889768.130941046,HALLSTATT,,-725,-261,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff-Biel 2001 : 304-306_ Hertlein 1908_ Arch Inf BDW 1995 : 66-79_ Germania 29, 1951 : 25+_ festschrift Dehn (Marburger Beiträge zur Archäologie-Fundber aus Hessen 1) 1969 : 210+_ Arch Ausgr BdW 2000 : 70-75"
AKG-25864,Tarodunum,Kirchzarten,DE,OPPIDUM,7.9666667,47.966667,1070400.5902202323,6774572.465233325,LA_TENE,LT D1,-150,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,Rieckhoff 2001 : 402-403_ KBdW : 487-489
AKG-25865,Limberg,Sasbach,DE,OPPIDUM,7.5833335,48.133335,1040771.6498000317,6791333.527031637,LA_TENE,,-620,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Rieckhoff 2001 : 460-462_ KBdW : 458-461_ arch ausgr BdW 1984 carte aechéo région du Kaiserstuhl 82-86
AKG-25866,Ringwall Burgberg,Frankenhardt-Frankenhardt-Oberspeltach,DE,OPPIDUM,9.983334,49.083332,1209498.6780066895,6909598.782856436,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,KBDW 336-337_ Scwäbisches Heimatbuch 1936 : 27+
AKG-25867,Lemberg,Stuttgart-Feuerbach,DE,OPPIDUM,9.166667,48.75,1152936.3590932132,6867682.756154524,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Goessler 1908 FBS 16, 34+_ KBdW : 479-481"
AKG-25868,Konstanz,Konstanz,DE,OPPIDUM,9.166667,47.666668,1162329.6350316857,6747649.078405317,LA_TENE,LT D1,-150,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"arch ausgr BdW 1984 : 76-78_ Germania 11, 1927-1928 : 118+_"
AKG-25869,Altoberndorf,Oberndorf,DE,OPPIDUM,8.583333,48.266666,1113962.070427111,6810900.247557414,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 224_ FBS NF7 - 1930-33 : 27
AKG-25870,Bleichstetten,Würtingen-Bleichstetten,DE,OPPIDUM,9.35,48.466667,1168903.7064062585,6837353.253097333,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 225_ FBS NF 4, 1926-28: 43_ 1928-30 : 38"
AKG-25871,Calverbühl,Dettingen,DE,OPPIDUM,9.283334,48.533333,1163402.2579368236,6844346.689730312,HALLSTATT,Ha C,-725,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 :  227
AKG-25872,Katzenbuckel,Ebingen,DE,OPPIDUM,9.033334,48.216667,1147687.9047840626,6807813.603089517,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 232
AKG-25873,Oberburg,Egesheim,DE,OPPIDUM,8.85,48.1,1135069.0614665798,6793859.861721273,HALLSTATT,Ha C,-725,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 238_ FBS NF 16,1962 : 232"
AKG-25874,Lehenbühl,Fridingen,DE,OPPIDUM,8.916667,48.033333,1140572.5083276294,6786841.565433576,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 238-239 + pl 8-30_ FbaBdW 1,1974 : 82+"
AKG-25875,Rossberg,Gönningen,DE,OPPIDUM,9.15,48.416668,1154597.8732305677,6830643.389393508,HALLSTATT,Ha D1,-620,-531,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 247 + pl 31-37_ FBS NF 11, 1938-51 : 36"
AKG-25876,Hackberg,Gomadingen,DE,OPPIDUM,9.4,48.4,1173187.770827932,6830265.2390201045,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,Biel 1987 : 252 + pl 38-42
